yang2003interdependent	10.1509/jmkr.40.3.282.19240	yang2003interdependent
yang2010organic	10.1287/mksc.1090.0552	yang2010
yang2019salesforcechoice	10.1287/mksc.2019.1175	yang2019salesforcechoice
yang2022platform	10.1287/mksc.2021.1325	yang2022platform
yao2011sponsoredsearch	10.1287/mksc.1100.0626	yao2011sponsoredsearch
ye2007strategic	10.1509/jmkg.71.4.156	ye2007strategic
ye2012bottomup	10.1007/s11747-011-0289-7	ye2012bottomup
zervas2021reputation	10.1007/s11002-020-09546-4	zervas2021reputation
zhang2021nickname	10.1177/0022242921996277	zhang2021nickname
zhu2015selective	10.1509/jmr.12.0379	zhu2015selective
zhu2017prominent	10.1287/mksc.2017.1037	zhu2017prominent
zinkhan2007altassessment	10.1509/jppm.26.2.284	zinkhan2007altassessment
